"#",Lens ID,Title,Abstract,Inventors
1,178-231-622-103-543,sistema in situ para o tratamento térmico aeróbico de resíduos orgãnicos biodegradáveis,,ZAVALA MIGUEL ANGEL LOPEZ
12,148-292-792-004-573,DEVICE FOR THE AUTOMATIC MONITORING OF GLUCOSE AND CONTROLLED DOSAGE OF INULIN THROUGH MICRONEEDLES AND MICROFUIDIC CHANNELS AND METHOD FOR CONTROLLING THE SAME.,"The supply of drugs into the human body has developed novel alternatives of medical dosage, where the controlled and continuous dosing still being a challenge. The device for the automatic monitoring of glucose and controlled dosage of inulin through microneedles and microfluidic channels and method for controlling the same allows drugs to be uniformly released through a microfluidic device, which distributes the drug in the microneedles for being subsequently released in a transdermal form. The device is designed to be located in patients with inulin deficiencies, facilitating the control of the drug in the patients life according to the clinical history of the same. The design of the device involves the modularity thereof for facilitating the everyday life of the patient. The six modules of the device include a system for taking blood samples, a sensor, a control module, a flow and pumping divider system, a microneedles patch and a user-control interface. The device includes these modules for the controlled dosage of inulin, through a patch of microneedles which is exchangeable every 10 blood samples, including a refillable deposit that is fastened to the arm of the patient for the continuous dosing and monitoring.",ZUÑIGA ALEX ELIAS;;GONZALEZ CIRO ANGEL RODRIGUEZ;;LOPEZ ERIKA GARCIA;;CARRILLO HECTOR RAFAEL SILLER
13,180-813-021-538-869,METHOD FOR OBTAINING BAKERY FERMENTED PRODUCTS SUPPLEMENTED WITH SELENIUM INORGANIC SALTS FOR THE BIOSYNTHESIS OF SELENIZED PROTEINS AND THE BAKERY PRODUCTS WITH CANCER CHEMOPREVENTION PROPERTIES.,"The present invention consists in providing a method for obtaining bakery fermented products supplemented with selenium inorganic salts for performing the biosynthesis of selenized proteins resulting from the inorganic salts during fermentation and obtaining bakery products with cancer chemopreventive properties such as sponge dough, sliced bread, amongst others; the performed studies show the cancer chemopreventive properties thereof due to the presence of selenium-methionine in a ratio equivalent to the total daily consumption of selenium recommended by the World Health Organization, the bakery product obtained in the bread form also being characterised in that it comprises the same parameters of a reference bread.",SALDIVAR SERGIO ROMAN OTHON SERNA;;VELEZ MARCO ANTONIO LAZO;;DIAZ VICTOR ALFONSO GUTIERREZ
14,162-294-948-516-660,"FOOD PRODUCTS ADDED WITH DIETARY FIBER, PHENOLIC COMPOUNDS AND CALCIUM OBTAINED FROM NEJAYOTE SOLIDS.","The present patent application consists in providing food products resulting from cereals and derivatives thereof and/or substitutes such as bread, tortilla, cookies, breakfast cereals, pasta, amongst others, which are fortified, enriched and/or supplemented with nejayote (corn nixtamalization effluent) solids. The nejayote solids are used as a source of calcium, dietary fiber and phenolic compounds such a ferulic acid, diferulic, triferulic, putrescine compounds, amongst others, antioxidants and further benefits to health. The food products contain high levels of calcium, dietary fiber and antioxidant phenolic compounds. Two slices of supplement bread (7.2%) with nejayote solids are able to provide the 30% and 20% of the recommended daily intake of calcium and dietary fiber, respectively.",SALDIVAR SERGIO ROMAN OTHON SERNA;;URIBE JANET ALEJANDRA GUTIERREZ;;VELEZ MARCO ANTONIO LAZO;;ESTRADA BEATRIZ ANDREA ACOSTA
15,074-003-949-621-603,PHOTONIC CONVERTER OF PASSIVE OPTICAL NETWORK SIGNALS INTO RADIO SIGNALS OVER FIBER.,"Presented is a photonic converter of passive optical networks into radio signals over fiber (photon converter from PON to RoF), which is formed by an optical combiner with two inlets, the first inlet being supplied by a PON signal having a single wavelength, centered to fPON frequency and the second inlet being supplied by a non-modulated optical tone, at a fLD frequency, generated by a laser diode, which polarization current and temperature are fixed in order the fLD frequency of the emitted optical tone may differ from the fPON frequency; the RoF signal is obtained at the output of the optical combiner, which is formed by the optical tone non-modulated to fLD and an optical tone modulated at fPON, the difference between the fLD and the fPON is a value equal to the RF frequency of the signal to be radiated that is generated after the photo detection and which range covers the whole microwave spectrum, including the millimeter signals. The PON to RoF photonic converter is arranged aft er the multiplexer of the WDM-PON network and before the PON and RoF distribution networks.",AVILA GERARDO ANTONIO CASTAÑON;;POINTOZEAU CHRISTOPHE GOSSET;;TREVIÑO GABRIEL CAMPUZANO;;GARDE IVAN ARITZ ALDAYA
16,196-649-484-867-625,HIGH PERFORMANCE PROCESS FOR THE PRODUCTION OF LACTIC BACTERIA PROBIOTIC BIOMASS FROM NON-SUPPLEMENTED WHEY.,"The present invention refers to a process for the obtention of high performance probiotic biomass from lactic acid bacteria, for instance of the Lactobacillis genus, particularly Lactobacillus casei, resulting from whey by a process including: (a) optionally skimming and ultra filtering the raw material for recovering protein (which optionally may be obtained by irrigation or preferably by lyophilisation for the obtention of a second product of high value), (b) a fed-batch or continuous fermentation, (c) and preferably recovering and lyophilising the resulting probiotic biomass. The present invention includes significant advantages over batch processes previously reported for the obtention of probiotoc bacteria from supplemented whey. Some advantages are the following: (a) significantly improving the yield (g biomass/g substrate); (b) improving the process productivity (g biomass/L-hr); (c) reducing the death times of the process ; (d) improving the quality of the product, expressed a s viable cells/gr of biomass; (e) potential obtention of valuable byproducts (protein, fat and lactic acid).",ÁLVAREZ MARIO MOISÉS;;EZKAURIATZA ERNESTO JOSÉ AGUIRRE
17,087-096-643-307-408,MODULAR THERMAL INSULATION SYSTEM FOR BUILDINGS,"The modular thermal insulating system based on a mixture of organic and inorganic compounds, constituted to reduce the transfer of heat between the interior and the exterior of a building. Said system, based on a mixture of organic and inorganic compounds, consists of a rigid planar container of prismatic form, formed of a plastic or metal material or a combination of both thereof, containing a first layer, in the form of a porous mixture of organic and inorganic compounds, being over a base and anchorage structure composed of at least a sheet of plastic resins installed above a thermal insulant, being the layer in contact with a rigid base, a set of anchorage elements and, a set of elements to increase the separation of the base element from the roof or wall.",SALMON-FOLGUERAS JOSE RODRIGO;;PARRA-SALDIVAR ROBERTO;;DURAN-SORIANO PAMELA DEL CARMEN;;FLORES-SANCHEZ MIGUEL ANGEL DE JESUS;;CORTES-GUERRA ANDRES MARCELO
18,131-861-917-078-614,Aceite mineral dieléctrico adicionado con nanohojuelas de grafeno,,RAMON RAYGOZA EDGAR DAVID;;RIVERA SOLORIO CARLOS IVÁN;;GIMENEZ TORRES ENRIQUE
19,012-393-303-166-32X,PROCESS FOR THE OVERPRODUCTION OF SHIKIMIC ACID AND PHENOLIC ACIDS IN FRUIT AND VEGETABLE CROPS,"The invention relates to a process for the overproduction of shikimic acid and phenolic compounds in fruit and vegetable crops, by means of the combined post-harvest application of abiotic stresses and glyphosate to fruit and vegetable crops in order to produce bioactive compounds of wide-ranging interest and commercial value. The carrot (Daucus carota) was used as the fruit and vegetable crop model. The process can be used to produce and store shikimic acid (AS) and a wide variety of phenolic compounds (CF) in the treated fruit and vegetable crop. There was an increase of more than 1000% in the concentration of shikimic acid and other compounds overproduced and stored as a result of the application of this technology in relation to concentrations in untreated fruit and vegetable crops. The stressed fruit and vegetable crops can be subsequently processed in order to extract and purify the bioactive compounds of interest.",JACOBO VELÁZQUEZ DANIEL ALBERTO;;BENAVIDES LOZANO JORGE ALEJANDRO;;CISNEROS ZEVALLOS LUIS ALBERTO;;BECERRA MORENO ALEJANDRO
20,091-022-113-879-903,DIELECTRIC MINERAL OIL CONDITIONED WITH GRAPHENE NANOFLAKES,"The invention relates to a dielectric mineral oil composition for a transformer, formed by at least one dielectric mineral oil and graphene nanoflakes decorated with metal nanoparticles and/or ceramic nanoparticles. The dielectric mineral oil composition has improved thermal conductivity and stability.",RAMÓN RAYGOZA EDGAR DAVID;;RIVERA SOLORIO CARLOS IVÁN;;GIMÉNEZ TORRES ENRIQUE
21,100-389-909-869-810,MACHINE FOR PROCESSING MANGOES.,"The invention relates to a machine for processing mangoes in an automatic manner such that the peeling, cutting and stoning operations are carried out without the need for human intervention. The machine comprises a support structure that supports a rotary turret on a shaft together with a rotary drive means, said turret being mounted on a slidable carriage that can move in a linear manner on rails fixed to the support structure, and which carriage has linear drive means. Three radially projecting arms are mounted on the turret and are separated at a 60Â° angle to one another, the end of each arm having a tool for securing, peeling, stoning and cutting the mango into two halves, known as cheeks. The machine also comprises a shaft having a fork to which the stone of the mango is automatically fixed, said shaft is driven by a motor and a transmission and causes the mango to rotate during the peeling process and positions the mango for the stoning process. The machine further comprises a central processing unit which, by means of software and sensor elements is responsible for: controlling all the actuating actuators and motors; synchronising the movements of the turret in order to position the different arms having the different tools according to each operation; along with synchronising the longitudinal movement of the carriage where said turret is mounted in order to coordinate uniform and precise movements of the tools; and synchronising the rotational movement of the shaft.",WEST JOEL CARLOS HUEGEL;;LEAL OMAR ALEJANDRO AGUILAR;;FLORES ARMANDO ROMAN;;QUEZADA ALAN JUSTINO PAULIN;;GUTIERREZ MANUEL ALEJANDRO GARCIA;;LOERA SERGIO ANTONIO PEDRAZA DE;;ROGRIGUEZ ANTONIO VEGA;;GARCIA IVAN FIGUEROA;;VARA DANIEL CARRILLO
22,085-391-583-300-712,"Antimicrobial, antibacterial and spore germination inhibiting activity from an avocado extract enriched in bioactive compounds","The present invention relates to extracts from Persea sp. (avocado) enriched in bioactive compounds which can be used as antimicrobial, antibacterial or spore germination inhibiting agents, the process for obtaining the extracts, acetogenins and isolated molecules and methods for using the extracts enriched in bioactive compounds for providing antimicrobial, antibacterial or spore germination inhibiting effect.
",HERNANDEZ-BRENES CARMEN;;GARCIA-CRUZ MARIA ISABEL;;GUTIERREZ-URIBE JANET ALEJANDRA;;BENAVIDES-LOZANO JORGE ALEJANDRO;;RODRIGUEZ-SÁNCHEZ DARIANA GRACIELA
23,110-063-676-572-292,"SYSTEM OF MOTIVATIONAL MECHANOMOTIVE REHABILITATION FOR ARMS AND LEGS, WITH VITAL SIGNS MONITORING, FOR PATIENTS WITH PARAPLEGIA, HEMIPLEGIA AND/OR STROKE.","The invention refers to a motivational mechanomotive rehabilitation for arms and legs with vital signs monitoring, which is focused on patients with paraplegia, hemiplegia and/or stroke; however, the invention may be associated to any person requiring rehabilitation in arms and legs and motivational brain stimuli though a ludic interaction with a virtual tour. Two unique characteristics of the invention are: the mechanical movement is associated to a virtual tour through a helmet or googles and headphones with interaction by movements of the patient in the tour, allowing an active and passive therapy to be performed. The system includes the integration of environmental sounds of ludic or motivational stimuli, or music selected by the patient or a mixture thereof. The second unique characteristic is that the invention includes a semi-intrusive module for continuously monitoring the body temperature and the heart rate of the patient, displaying them in a module screen for managing the p atients or in a smart phone or tablet so as to offer a safe rehabilitation environment to patients with a heart disease.",SILVA VÍCTOR HUGO ZÁRATE;;DÍAZ JESÚS ARTURO PÉREZ
24,128-240-146-903-195,PASSIVE CONTROL AND CONCENTRATION MODULAR SOLAR RANGE.,"The present invention is intended to provide a passive solar range based on a concentrator circuit of parabolic cylindrical channel. The invention includes: a parabolic cylindrical-shaped solar concentrator of passive channel, which heats a fluid in a preferential direction by means of a shut-off valve connected to a heating pot and a flat heat exchanger, which are connected by a plurality of connections of main flow for cooking food, which contain a relief valve for avoiding accidents and damages to the passive solar range. The passive solar range is characterized in that it is passive, as this not requires a continuous tracking system. The invention is characterized in that it has a flat reflecting surface with a suitable reflection capacity and a shape that maximizes the reflection of the beams in the tube for collecting radiation. It is an easily assembled system, which due to the inlet and outlet connections thereof, allows several collectors in series to be connected as well as several heating pots or flat heat exchangers.",BREMER MARTIN HERMANN BREMER;;FOLGUERAS JOSE RODRIGO SALMON;;ISRADE ELIER RAMOS;;HERNANDEZ NIDYA BALBINA SOLIS
25,039-416-358-986-99X,BIDIRECTIONAL EXPANDABLE INTERVERTEBRAL SPACER.,"The present patent is intended to protect a bidirectional expandable intervertebral spacer, which is introduced, in a collapsed manner (3.4 mm of height approximately and 3.4 mm of width) by a laparoscope, into the intervertebral space where the disc has lost its properties, once the spacer is arranged it is expanded in situ in two directions (14 mm vertical and 10.4 mm horizontal approximately) by means of an expander device of two axes adapted specifically for achieving the aforementioned expansion and having a wide range of sizes. In addition, the invention allows the surgeon to re-arrange the device if it has been located in an unsuitable position, since the use of the expander device enables the retraction. The material of the spacer must comply with the requirements of being biocompatible, i.e., accepted by the human body.",GONZALEZ CIRO ANGEL RODRIGUEZ;;GABILONDO MYRIAM VERONICA GARZA
26,149-390-523-971-94X,ONLINE FEEDBACK METHOD FOR GUIDING THE CONSTRUCTION OF PROGRAMMING SOLUTIONS.,"The present invention is intended to provide students with a method for detecting faults in their strategies for solving a planted problem. It is a methodology that offers automatic feedback for learning to construct correct programming solutions to problems. The method may be used by the student during the process performed for constructing the computer solution of his solution, thus offering the student tools of different types for acquiring or improving his ability for detecting faults in the computer solutions performed by himself. The purpose of the invention is to promote in the student not only to learn to program but also to visualize the importance of checking in a correct manner his solutions. The methodology supports the student for eliminating the logic errors from his programs. The logic errors are the most difficult errors to be eliminated; generally, the inexperience prevents the student from detecting that his program is not running in a correct manner. Training with s pecific, well designed and tested problems will help the student to acquire abilities for: discovering faults in programs, designing the test data set with which the program is to be validated, developing solutions that may be coupled to other programs, improving the designs through observing that there are solutions with a quality higher than his solutions, or being aware why the execution of his program took so long, so that he may perform solutions with efficient designs. In addition, the student will internalize the importance of constructing complete and correct programming solutions.",FLORES ARMANDINA JUANA LEAL;;GUERRA LUIS HUMBERTO GONZALEZ
27,183-537-071-732-222,FOOD PRODUCTS SUPPLEMENTED WITH EXTRACT OF BLACK BEAN PERICARP IN POWDER FOR REDUCING OBESITY AND HYPERLIPIDEMIA HAVING ANTIOXIDANT ACTIVITY.,"The present invention refers to flours based on cereals or other substitute flours supplemented with extract of black bean pericarp in powder, this latter ingredient including bioactive compounds (flavonoids, anthocyanins, saponins and conjugated phytosterols) for providing supplemented flours with hypocholesterolemic and antioxidant effects. Said flours supplemented with extract of black bean pericarp in powder have been used for the manufacture of food products, mainly dough, tortillas, cookies, bread and chips for reducing obesity and hyperlipidemia, also providing an antioxidant activity. The food products for reducing obesity and hyperlipidemia with an antioxidant activity, including the supplemented flours, contain high levels of anthocyanins, which are phytochemicals commonly lost during the conventional manufacture of flours with cereals rich in anthocyanins, such as the nixtamalization of blue maize. These products contain a higher concentration of anthocyanins, compared to t hose performed with pigmented grains, such as blue maize. In addition, the food products manufactured with flours supplemented with extract of black bean pericarp in powder, contain suitable levels of the bioactive compounds for presenting a hypocholesterolemic and antioxidant effect in the consumer, considering that a daily portion of (30 g) is consumed from any of the manufactured products.",SALDIVAR SERGIO ROMAN OTHON SERNA;;CARRILLO ESTHER PEREZ;;URIBE JANET ALEJANDRA GUTIERREZ;;SANTOSCOY ROCIO ALEJANDRA CHAVEZ;;VELEZ MARCO ANTONIO LAZO
28,134-070-375-944-319,PORTABLE MICROFLUIDIC SYSTEM FOR QUANTIFYING A POPULATION OF CANCER CELLS IN SUSPENSION.,"Described is a portable microfluidic system for quantifying a population of cancer cells in suspension by means of electrokinetic forces and surface plasmon resonance, this system being intended to quantify the cells separated from a cancer tumor due to the epithelial-mesenchymal transition thereof to another area of the human body through the bloodstream. The amount of tumorous cells present in a predetermined volume of blood is an indicator proportional to the size of the tumor previously localized, also being and indicative of the presence of one or more metastatic tumors. The portable microfluidic system for quantifying a population of cancer cells in suspension by means of electro-kinetic forces and surface plasmon resonance comprises the following devices coupled in a sequential manner: a disposable and exchangeable microfluidic device, a device for channeling and coupling a light beam resulting from a laser mounted on a first support and a photo sensor mounted on a second suppo rt, and a station of electronic control.",CHAPA SERGIO OMAR MARTINEZ;;LEON SERGIO CAMACHO;;PIÑON MATIAS VAZQUEZ
29,173-370-461-348-15X,DIELECTRIC MINERAL OIL CONDITIONED WITH GRAPHENE NANOFLAKES,"The invention relates to a dielectric mineral oil composition for a transformer, formed by at least one dielectric mineral oil and graphene nanoflakes decorated with metal nanoparticles and/or ceramic nanoparticles. The dielectric mineral oil composition has improved thermal conductivity and stability.",RAMON RAYGOZA EDGAR DAVID;;RIVERA SOLORIO CARLOS IVÁN;;GIMENEZ TORRES ENRIQUE
30,180-356-189-033-089,MODULAR ELECTRONIC PILLBOX AND CONTROL METHOD THEREOF.,"Described is a modular electronic pillbox and control method thereof for reminding a patient of taking a pharmaceutical product so as to be adhered to a therapeutic regime; guiding the patient during the medication for performing the same in a correct manner and providing the patient information over the medication adherence during a predetermined period of time (for example 24 hours, 12 hours, 8 hours or 6 hours). The modular electronic pillbox comprises a receptor divided into two sections where the first section stores the electronic system of the pillbox and the second section stores the pharmaceutical product taken by the patient; an upper lid safeguarding the pharmaceutical product from the environment; at least a coupling means located at the outer lateral portion of the container for coupling other container; a user interface with a predetermined geometry where the geometric figure includes segments of high luminosity LEDs, the interface being arranged at the outer portion of the lid and being useful for indicating the frequency of use of the pharmaceutical product required by the patient.",PINERO RAMON FELIPE BRENA;;VAZQUEZ JUAN PABLO GARCIA;;URREA MARCELA DEYANIRA RODRIGUEZ;;REATIGA ANGEL GABRIEL ANDRADE
31,049-109-249-227-874,SYSTEM FOR SIMULATING THE SOLAR RADIATION SPECTRUM AND TEMPERATURE.,"The present invention provides a system for simulating the solar radiation spectrum and temperature. The invention includes: a support for an orbital motion simulator able to be displaced in a range of from about 0° to about 180°; on which a simulator of rotational motion with displacements ranging from about 0°to about 180° is displaced, which is able to emit radiation and temperature over a predetermined area of a sample carrier. The invention is useful for performing samples and simulations to different systems and equipment such as photovoltaic panels, thermal solar collectors, green roofs, thermal insulating systems, photo bioreactor systems, plants and microalgae growth for producing biomass and biofuel, bioclimatic architecture, energy audits, greenhouses and further solar devices, since this system allows the solar radiation spectrum to be simulated and controlled as well as the solar geometry considering the temperature effect.",SALDIVAR ROBERTO PARRA;;FOLGUERAS JOSE RODRIGO SALMON;;SANCHEZ MIGUEL ANGEL DE JESUS FLORES;;CASTILLO OMAR ALEJANDRO NOVELO;;MARQUEZ JORGE LUIS ACUÑA
